restaurant_temp_id,campus_area,center_query,radius_m,kakao_place_id,name,category_name,address,road_address,longitude,latitude,phone,kakao_place_url,distance_m
1,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,168487509,인생건어물맥주 대학로점,"음식점 > 술집 > 호프,요리주점 > 인생건어물맥주",서울 종로구 명륜2가 122,서울 종로구 성균관로 26,126.997318995671,37.5850027656031,,http://place.map.kakao.com/168487509,42.4
2,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,11634881,한솥도시락 성균관대앞점,음식점 > 도시락 > 한솥도시락,서울 종로구 명륜2가 122,서울 종로구 성균관로 26,126.997323524524,37.5849991617393,02-744-0762,http://place.map.kakao.com/11634881,42.7
3,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,22016023,맥덕스,음식점 > 양식,서울 종로구 명륜2가 135-3,서울 종로구 성균관로 25-9,126.99702011457204,37.58463515323663,070-8623-6397,http://place.map.kakao.com/22016023,43.6
4,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,338935651,명륜진사갈비 서울성균관대점,"음식점 > 한식 > 육류,고기 > 갈비 > 명륜진사갈비",서울 종로구 명륜3가 53,서울 종로구 성균관로 31,126.996752888324,37.5853919804099,02-747-9279,http://place.map.kakao.com/338935651,44.2
5,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,122821905,물결식당,음식점 > 퓨전요리 > 퓨전한식,서울 종로구 명륜2가 135-3,서울 종로구 성균관로 25-9,126.997017850868,37.5846189353022,,http://place.map.kakao.com/122821905,45.3
6,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,25770908,피자헤븐 종로성대점,음식점 > 양식 > 피자 > 피자헤븐,서울 종로구 명륜2가 135,서울 종로구 성균관로 21-2,126.99714691879169,37.584619839485576,02-3673-1577,http://place.map.kakao.com/25770908,50.3
7,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1869234515,맘스터치 피자앤치킨 종로성대점,음식점 > 양식 > 피자 > 맘스터치 피자앤치킨,서울 종로구 명륜2가 74-1,서울 종로구 성균관로 30,126.99714122735443,37.58541902023971,02-3673-1578,http://place.map.kakao.com/1869234515,53.7
8,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,483030266,명분,"음식점 > 간식 > 제과,베이커리",서울 종로구 명륜2가 130,서울 종로구 성균관로 26-4,126.997434473514,37.5851370161491,010-8767-4065,http://place.map.kakao.com/483030266,54.7
9,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,633176459,집시포차 혜화점,음식점 > 술집 > 실내포장마차,서울 종로구 명륜2가 138-1,서울 종로구 성균관로 21,126.997180887748,37.5845216320441,,http://place.map.kakao.com/633176459,61.2
10,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,11520636,페르시안궁전,음식점 > 아시아음식 > 인도음식,서울 종로구 명륜2가 121-1,서울 종로구 성균관로6길 9,126.997559020842,37.5849162754761,02-763-6050,http://place.map.kakao.com/11520636,64.2
11,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,2097807259,명륜판면,음식점 > 중식,서울 종로구 명륜2가 114-2,서울 종로구 성균관로 22,126.997440151922,37.5846261531552,,http://place.map.kakao.com/2097807259,67.4
12,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1620413603,은하수 건강식당,음식점 > 한식,서울 종로구 명륜2가 114-2,서울 종로구 성균관로 22,126.997440151922,37.5846261531611,070-8666-1659,http://place.map.kakao.com/1620413603,67.4
13,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1321651616,홍곱창 성대본점직영,"음식점 > 한식 > 육류,고기 > 곱창,막창",서울 종로구 명륜3가 79-2,서울 종로구 성균관로5길 13,126.996662359563,37.5843576377575,,http://place.map.kakao.com/1321651616,73.1
14,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1755188559,혼또카레,음식점 > 일식,서울 종로구 명륜2가 114-1,서울 종로구 성균관로6길 4,126.997557896845,37.5846657993498,02-6952-7499,http://place.map.kakao.com/1755188559,73.5
15,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1317493018,가마치통닭 서울성대점,음식점 > 치킨 > 가마치통닭,서울 종로구 명륜2가 116,서울 종로구 성균관로 20-1,126.997495630498,37.584566688801,02-743-2030,http://place.map.kakao.com/1317493018,75.4
16,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,9453749,치킨매니아 성대점,음식점 > 치킨 > 치킨매니아,서울 종로구 명륜1가 101-1,서울 종로구 성균관로 34,126.997011014372,37.585705532806,02-744-9292,http://place.map.kakao.com/9453749,79.9
17,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,78014644,몬스터헝그리덮밥,음식점 > 한식,서울 종로구 명륜2가 113,서울 종로구 성균관로6길 6,126.997660924305,37.5846829203125,,http://place.map.kakao.com/78014644,80.6
18,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,435113124,철문집,"음식점 > 한식 > 육류,고기",서울 종로구 명륜3가 82-3,서울 종로구 성균관로5길 9,126.99688426848,37.584276554427,010-9384-1652,http://place.map.kakao.com/435113124,80.6
19,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,21232703,틈,"음식점 > 술집 > 호프,요리주점",서울 종로구 명륜3가 82-3,서울 종로구 성균관로5길 9,126.99689785481779,37.58426934684488,02-747-9378,http://place.map.kakao.com/21232703,81.4
20,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1124953697,준호네부대찌개 성대점,"음식점 > 한식 > 찌개,전골",서울 종로구 명륜3가 82-3,서울 종로구 성균관로5길 9,126.996885401551,37.5842549306252,02-743-9997,http://place.map.kakao.com/1124953697,83.0
21,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1152401909,세아중식당,음식점 > 중식 > 중국요리,서울 종로구 명륜2가 115-2,서울 종로구 성균관로 20,126.997532994776,37.5844901051662,02-766-9979,http://place.map.kakao.com/1152401909,83.4
22,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,323097511,고래섬,"음식점 > 술집 > 호프,요리주점",서울 종로구 명륜3가 118-1,서울 종로구 창경궁로29길 39,126.99708013450315,37.584260341562114,,http://place.map.kakao.com/323097511,85.0
23,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,399184950,만만타코야끼,음식점 > 간식,서울 종로구 명륜3가 118-1,서울 종로구 창경궁로29길 39,126.997086927521,37.58426034173,,http://place.map.kakao.com/399184950,85.1
24,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,21330977,더도어스,"음식점 > 술집 > 호프,요리주점",서울 종로구 명륜3가 118-1,서울 종로구 창경궁로29길 39,126.99708239919407,37.58425133168574,02-762-0189,http://place.map.kakao.com/21330977,86.0
25,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,167602513,노말키친 혜화,음식점 > 양식,서울 종로구 명륜2가 81-1,서울 종로구 성균관로6길 26,126.997498993441,37.5855703952,070-8836-3899,http://place.map.kakao.com/167602513,86.1
26,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,24058331,명신식당,음식점 > 한식 > 국밥,서울 종로구 명륜3가 118-2,서울 종로구 창경궁로29길 37-1,126.997137876396,37.5842279072197,02-742-5662,http://place.map.kakao.com/24058331,89.8
27,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,16036704,미술관,음식점 > 술집,서울 종로구 명륜2가 141,서울 종로구 창경궁로29길 38,126.99726014947545,37.584260345877695,,http://place.map.kakao.com/16036704,90.3
28,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,9968170,성균원,음식점 > 중식 > 중국요리,서울 종로구 명륜2가 142-2,서울 종로구 성균관로 17,126.9973960082,37.584307200601,02-742-9552,http://place.map.kakao.com/9968170,91.4
29,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,2142464681,천향록,음식점 > 중식 > 양꼬치,서울 종로구 명륜2가 143-9,서울 종로구 성균관로 18,126.997583945245,37.5844072148449,02-3672-9888,http://place.map.kakao.com/2142464681,93.1
