restaurant_external_id,restaurant_name,campus_slug,category_tag,min_price,max_price,price_range
kakao_168487509,인생건어물맥주 대학로점,humanities,한식,NAN,NAN,Low
kakao_11634881,한솥도시락 성균관대앞점,humanities,한식,3900,7300,Low
kakao_22016023,맥덕스,humanities,양식,14000,14000,Mid
kakao_338935651,명륜진사갈비 서울성균관대점,humanities,한식,21900,21900,High
kakao_122821905,물결식당,humanities,한식,NAN,NAN,Low
kakao_25770908,피자헤븐 종로성대점,humanities,양식,22900,22900,High
kakao_1869234515,맘스터치 피자앤치킨 종로성대점,humanities,양식,10900,24900,Mid
kakao_483030266,명분,humanities,양식,NAN,NAN,Low
kakao_633176459,집시포차 혜화점,humanities,한식,NAN,NAN,Mid
kakao_11520636,페르시안궁전,humanities,양식,12000,43000,Mid
kakao_1321651616,홍곱창 성대본점직영,humanities,한식,13000,15000,Mid
kakao_1755188559,혼또카레,humanities,일식,NAN,NAN,Mid
kakao_1317493018,가마치통닭 서울성대점,humanities,한식,NAN,NAN,Low
kakao_9453749,치킨매니아 성대점,humanities,한식,NAN,NAN,High
kakao_435113124,철문집,humanities,한식,12900,14900,Mid
kakao_21232703,틈,humanities,한식,NAN,NAN,Low
kakao_1124953697,준호네부대찌개 성대점,humanities,한식,8500,NAN,Low
kakao_1152401909,세아중식당,humanities,중식,7500,7500,Low
kakao_399184950,만만타코야끼,humanities,일식,NAN,NAN,Low
kakao_21330977,더도어스,humanities,한식,NAN,NAN,Mid
kakao_167602513,노말키친 혜화,humanities,양식,16000,46000,High
kakao_24058331,명신식당,humanities,한식,6000,7000,Low
kakao_16036704,미술관,humanities,한식,NAN,NAN,High
kakao_9968170,성균원,humanities,중식,7000,22000,Low
kakao_2142464681,천향록,humanities,중식,NAN,NAN,Mid
kakao_18889918,인생의단맛,humanities,한식,NAN,NAN,Low
kakao_1700062133,싸움의고수 성균관대점,humanities,한식,NAN,NAN,Low
kakao_13559293,이삭토스트 성균관대점,humanities,양식,3200,4900,Low
kakao_17652954,성균관감자탕,humanities,한식,8000,8000,Low
kakao_223498484,전대포,humanities,한식,NAN,NAN,Low
kakao_883727943,명쭈3 대학로본점,humanities,한식,13000,17000,Mid
kakao_1859806025,신전떡볶이 종로대학로점,humanities,한식,4500,6500,Low
kakao_9029832,명륜쭈꾸미,humanities,한식,13000,13000,Mid
kakao_131183348,양궈푸마라탕 성균관대점,humanities,중식,NAN,NAN,Low
kakao_1283367577,퍼센트,humanities,한식,NAN,NAN,High
kakao_19976659,동두천부대찌개,humanities,한식,6000,7000,Low
kakao_11817216,피자스쿨 서울성대점,humanities,양식,9900,10900,Mid
