restaurant_external_id,tag_type,tag_value,confidence_score
kakao_168487509,food,오뎅탕,0.95
kakao_168487509,food,마라바지락볶음면,0.95
kakao_168487509,food,감바스,0.95
kakao_168487509,food,먹태,0.95
kakao_168487509,food,살얼음생맥주,0.95
kakao_168487509,mood,예쁜인테리어,0.9
kakao_168487509,mood,깔끔한분위기,0.9
kakao_168487509,price,저렴한가격,0.85
kakao_168487509,purpose,혼술,0.9
kakao_168487509,purpose,친구술자리,0.9
kakao_11634881,food,불닭치킨마요,0.95
kakao_11634881,food,치즈닭갈비덮밥,0.95
kakao_11634881,food,스팸마요,0.95
kakao_11634881,food,치킨마요,0.95
kakao_11634881,food,순살후라이드,0.95
kakao_11634881,price,저렴한가격,0.9
kakao_11634881,price,가성비좋은메뉴,0.9
kakao_11634881,purpose,혼밥,0.9
kakao_11634881,purpose,포장,0.9
kakao_11634881,waiting,음식제공지연가능,0.85
kakao_22016023,food,페퍼로니피자,0.95
kakao_22016023,food,비비큐포크피자,0.95
kakao_22016023,food,더블치즈피자,0.95
kakao_22016023,food,맥앤치즈,0.95
kakao_22016023,food,치즈오븐스파게티,0.95
kakao_22016023,food,버섯크림스파게티,0.95
kakao_22016023,food,수제맥주샘플러,0.95
kakao_22016023,price,가성비좋은세트,0.85
kakao_22016023,purpose,데이트,0.9
kakao_22016023,purpose,단체모임,0.9
kakao_338935651,food,돼지갈비,0.95
kakao_338935651,food,양념갈비,0.95
kakao_338935651,food,돼지껍데기,0.95
kakao_338935651,food,계란찜,0.95
kakao_338935651,food,된장찌개,0.95
kakao_338935651,mood,넓은매장,0.9
kakao_338935651,mood,깔끔한분위기,0.9
kakao_338935651,price,가성비,0.85
kakao_338935651,purpose,가족모임,0.9
kakao_338935651,parking,주차편리,0.85
kakao_122821905,food,고등어덮밥,0.95
kakao_122821905,food,카레,0.95
kakao_122821905,food,쟌슨빌크림라이스,0.95
kakao_122821905,food,닭고기덮밥,0.95
kakao_122821905,food,잔슨빌들깨파스타,0.95
kakao_122821905,food,단짠단짠닭고기덮밥,0.95
kakao_122821905,food,네가지색덮밥,0.95
kakao_122821905,mood,아담한분위기,0.9
kakao_122821905,mood,조용한분위기,0.9
kakao_122821905,purpose,혼밥,0.9
kakao_25770908,food,해븐피자,0.95
kakao_25770908,food,사대천왕피자,0.95
kakao_25770908,food,고구마스위트,0.95
kakao_25770908,food,눈꽃치즈스테이크,0.95
kakao_25770908,food,더블치즈베이컨,0.95
kakao_25770908,food,페퍼로니,0.95
kakao_25770908,price,가성비좋음,0.9
kakao_25770908,purpose,배달,0.9
kakao_25770908,purpose,생일파티,0.9
kakao_1869234515,food,케이준떡강정,0.95
kakao_1869234515,food,케이준양념감자,0.95
kakao_1869234515,food,핫치즈빅싸이순살,0.95
kakao_1869234515,food,빅싸이순살치킨,0.95
kakao_1869234515,food,싸이피자,0.95
kakao_1869234515,food,고구마피자,0.95
kakao_1869234515,food,후라이드치킨,0.95
kakao_1869234515,price,가성비좋음,0.85
kakao_1869234515,purpose,아이동반식사,0.9
kakao_1869234515,purpose,혼술,0.9
kakao_483030266,food,소금빵,0.95
kakao_483030266,food,브라우니,0.95
kakao_483030266,food,휘낭시에,0.95
kakao_483030266,food,치아바타앙버터,0.95
kakao_483030266,food,에그타르트,0.95
kakao_483030266,food,밀크프레즐,0.95
kakao_483030266,food,카야프레즐,0.95
kakao_483030266,mood,작은매장,0.9
kakao_483030266,purpose,테이크아웃,0.9
kakao_483030266,price,착한가격,0.85
kakao_633176459,food,짬뽕탕,0.95
kakao_633176459,food,먹태,0.95
kakao_633176459,food,치킨,0.95
kakao_633176459,food,곱창전골,0.95
kakao_633176459,food,명란크림우동,0.95
kakao_633176459,mood,대화하기좋은분위기,0.9
kakao_633176459,mood,예쁜인테리어,0.9
kakao_633176459,price,합리적인가격,0.85
kakao_633176459,purpose,회식,0.9
kakao_633176459,purpose,단체모임,0.9
kakao_11520636,food,통닭정식,0.95
kakao_11520636,food,통닭카레,0.95
kakao_11520636,food,치킨커리,0.95
kakao_11520636,food,양고기케밥,0.95
kakao_11520636,food,양고기카레,0.95
kakao_11520636,food,버터난,0.95
kakao_11520636,food,치즈난,0.95
kakao_11520636,mood,이국적인분위기,0.9
kakao_11520636,purpose,데이트,0.9
kakao_11520636,waiting,대기있는편,0.85
kakao_1321651616,food,데리야끼막창,0.95
kakao_1321651616,food,야채곱창,0.95
kakao_1321651616,food,핵마늘막창,0.95
kakao_1321651616,food,불막창,0.95
kakao_1321651616,food,슈프림막창,0.95
kakao_1321651616,food,소금구이막창,0.95
kakao_1321651616,food,양념막창,0.95
kakao_1321651616,mood,노포감성,0.9
kakao_1321651616,mood,아늑한분위기,0.9
kakao_1321651616,purpose,회식,0.9
kakao_1755188559,food,카레,0.95
kakao_1755188559,food,스프카레,0.95
kakao_1755188559,food,야끼카레,0.95
kakao_1755188559,food,비프카레,0.95
kakao_1755188559,food,삿포로스프카레,0.95
kakao_1755188559,food,돈까스카레,0.95
kakao_1755188559,food,에비스프카레,0.95
kakao_1755188559,mood,깔끔한분위기,0.9
kakao_1755188559,mood,아늑한분위기,0.9
kakao_1755188559,waiting,자리부족,0.85
kakao_1317493018,food,치킨,0.95
kakao_1317493018,food,떡볶이,0.95
kakao_1317493018,food,똥집튀김,0.95
kakao_1317493018,food,치즈볼,0.95
kakao_1317493018,food,후라이드,0.95
kakao_1317493018,food,순살후라이드,0.95
kakao_1317493018,food,프라이드콤보,0.95
kakao_1317493018,food,닭강정,0.95
kakao_1317493018,food,반반치킨,0.95
kakao_1317493018,food,한마리통닭,0.95
kakao_9453749,food,후라이드,0.95
kakao_9453749,food,치킨,0.95
kakao_9453749,food,떡볶이,0.95
kakao_9453749,mood,친절한분위기,0.9
kakao_9453749,purpose,혼술,0.9
kakao_9453749,purpose,친목모임,0.9
kakao_435113124,food,삼겹살,0.95
kakao_435113124,food,목살,0.95
kakao_435113124,food,양념목살,0.95
kakao_435113124,food,숙성통목살,0.95
kakao_435113124,food,돼지막창,0.95
kakao_435113124,food,돼지껍데기,0.95
kakao_435113124,food,순두부열라면,0.95
kakao_435113124,food,계란찜,0.95
kakao_435113124,food,된장찌개,0.95
kakao_435113124,price,가성비좋음,0.9
kakao_21232703,food,냉골뱅이,0.95
kakao_21232703,food,치즈매콤계란말이,0.95
kakao_21232703,food,생맥,0.95
kakao_21232703,food,볶음라면,0.95
kakao_21232703,mood,오래된감성,0.9
kakao_21232703,mood,집시스러운분위기,0.9
kakao_21232703,mood,음악공연,0.9
kakao_21232703,purpose,데이트,0.9
kakao_21232703,purpose,술자리,0.9
kakao_1124953697,food,부대찌개,0.95
kakao_1124953697,food,오리지날부대찌개,0.95
kakao_1124953697,food,로제부대찌개,0.95
kakao_1124953697,food,당면사리,0.95
kakao_1124953697,food,라면사리,0.95
kakao_1124953697,food,감자튀김,0.95
kakao_1124953697,food,해시브라운,0.95
kakao_1124953697,price,가성비좋은,0.9
kakao_1124953697,mood,넓은매장,0.9
kakao_1124953697,purpose,혼밥,0.9
kakao_1152401909,food,간짜장,0.95
kakao_1152401909,food,마늘탕수육,0.95
kakao_1152401909,food,차돌짬뽕,0.95
kakao_1152401909,food,군만두,0.95
kakao_1152401909,food,짜장면,0.95
kakao_1152401909,mood,학생많은분위기,0.9
kakao_1152401909,price,가성비좋은,0.85
kakao_1152401909,purpose,혼밥,0.9
kakao_1152401909,waiting,점심웨이팅,0.85
kakao_1152401909,waiting,10~15분대기,0.85
kakao_399184950,food,타코야끼,0.95
kakao_399184950,food,네기타코야끼,0.95
kakao_399184950,food,에그마요타코야끼,0.95
kakao_399184950,food,가라아게,0.95
kakao_399184950,food,고로케,0.95
kakao_399184950,food,치즈불닭볶음면,0.95
kakao_399184950,food,콘치즈불닭볶음면,0.95
kakao_399184950,food,술술세트,0.95
kakao_399184950,price,가성비,0.88
kakao_399184950,waiting,느린제공,0.85
kakao_21330977,food,맥주,0.95
kakao_21330977,mood,LP바감성,0.9
kakao_21330977,mood,아늑한분위기,0.9
kakao_21330977,mood,음악듣기좋은분위기,0.9
kakao_21330977,purpose,데이트,0.9
