restaurant_external_id,restaurant_name,campus_slug,category_tag,min_price,max_price,price_range
kakao_824736542,낭만가득한20세기포장마차 수원성대본점,natural,한식,NAN,NAN,Low
kakao_306868449,소리산전집,natural,한식,6000,6000,Low
kakao_1279255339,두루정 수원성대점,natural,한식,9500,14500,Mid
kakao_762026624,코아김밥,natural,한식,NAN,NAN,Low
kakao_1676208114,최고집 원조 수구레,natural,한식,19000,19000,High
kakao_1687006483,돼지게티 율천점,natural,양식,15000,20000,Mid
kakao_24583309,신전떡볶이 수원성대점,natural,한식,4000,12000,Low
kakao_2064565238,중경마라탕 3호점,natural,중식,7000,15000,Low
kakao_1665003130,완미족발 수원성대점,natural,한식,37900,45000,High
kakao_765114919,텐푸라바사바사,natural,일식,11500,15000,Mid
kakao_27276923,국수파동,natural,한식,6500,7500,Low
kakao_2017609824,BBQ 수원율전점,natural,한식,23000,24000,High
kakao_11634973,한솥도시락 수원성대점,natural,한식,3900,8200,Low
kakao_24941922,포크포크 매콤돈가스&칡불냉면,natural,일식,10000,10000,Mid
kakao_1445316158,율전원곱창,natural,한식,12000,48000,Mid
kakao_86582844,백사104,natural,중식,NAN,NAN,Low
kakao_1941692451,정든닭발 성대점,natural,한식,15000,15000,Mid
kakao_450307831,정통집 수원성대점,natural,한식,27000,41000,High
kakao_205548870,수해복마라탕 성대점,natural,중식,NAN,NAN,Mid
kakao_295084774,이둔자꿔보러우,natural,중식,9000,NAN,Low
kakao_324405971,1972재개발구역 성대점,natural,한식,NAN,NAN,Low
kakao_1706269697,춘천닭갈비칡냉면,natural,한식,7000,13000,Low
kakao_27393012,무대뽀핫도그 성대점,natural,한식,NAN,NAN,Low
kakao_140527598,맥주호텔,natural,한식,NAN,NAN,Low
kakao_541737858,율전동,natural,한식,NAN,NAN,Low
kakao_1578043317,육가든,natural,한식,14000,16000,Mid
kakao_18829773,황소마을곱창,natural,한식,20000,NAN,High
kakao_148202780,윤실장초밥 성대점,natural,일식,11900,15500,Mid
kakao_1673819877,금별맥주 성균관대역점,natural,한식,13900,23000,Mid
kakao_1328628226,기울어진뚝배기 수원성대점,natural,한식,NAN,NAN,Low
kakao_1067364809,포케올데이 수원성대점,natural,양식,NAN,NAN,Mid
kakao_885469418,유가네닭갈비 성균관대역점,natural,한식,10000,NAN,Mid
kakao_206089741,면식당 수원성균관대점,natural,일식,7900,13500,Low
kakao_15818685,이라면 본점,natural,한식,6500,18000,Low
kakao_938268316,노꼬치킨 수원성균관대점,natural,한식,17900,30900,High
kakao_1540805623,만복반점,natural,중식,9000,11000,Low
kakao_929132172,담은샤브칼국수 직영1호점,natural,한식,12000,12000,Mid
kakao_1324929519,감성 성대점,natural,한식,NAN,NAN,Low
kakao_1594934927,옛이야기,natural,한식,6000,7000,Low
kakao_27258679,만다,natural,한식,9500,9500,Mid
